MNST, Monster Beverage Corporation, 55.16, -0.22,-0.4, 1587431, -.1,
MYL, Mylan N.V., 30.32, -0.41,-1.33, 3893321, -.2,
NTES, NetEase Inc., 276.06, -0.11,-0.04, 754863, .0,
NFLX, Netflix Inc., 169.06, -0.28,-0.17, 4630286, -.1,
NCLH, Norwegian Cruise Line Holdings Ltd., 57.15, 0.25,0.44, 1903892, .1,
NVDA, NVIDIA Corporation, 165.8, 3.25,2, 14459475, 1.7,
ORLY, O'Reilly Automotive Inc., 195.26, -2.73,-1.38, 1147231, -.2,
PCAR, PACCAR Inc., 64.01, -0.44,-0.68, 1098371, -.1,
PAYX, Paychex Inc., 55.77, -0.34,-0.61, 1303012, -.1,
PYPL, PayPal Holdings Inc., 60.05, -0.79,-1.3, 4536773, -.8,
QCOM, QUALCOMM Incorporated, 52.23, -0.12,-0.23, 5258609, -.2,
REGN, Regeneron Pharmaceuticals Inc., 477.15, -1.5,-0.31, 410083, -.1,
ROST, Ross Stores Inc., 58.92, -0.27,-0.46, 3144667, -.1,
STX, Seagate Technology PLC, 31.01, -1.28,-3.96, 7754499, -.3,
SHPG, Shire plc, 142.84, -0.32,-0.22, 841301, .0,
SIRI, Sirius XM Holdings Inc., 5.56, -0.11,-1.94, 17515336, -.5,
SWKS, Skyworks Solutions Inc., 102.71, -0.3,-0.29, 861104, -.1,
SBUX, Starbucks Corporation, 54.08, -0.37,-0.68, 11824404, -.5,
SYMC, Symantec Corporation, 29.21, 0.45,1.56, 7929543, .2,
TMUS, T-Mobile US Inc., 64, -0.38,-0.59, 1721571, -.3,
TSLA, Tesla Inc., 352.77, 11.42,3.35, 4941680, 1.6,
TXN, Texas Instruments Incorporated, 80.89, 0.14,0.17, 4109285, .1,
KHC, The Kraft Heinz Company, 84.75, -0.3,-0.35, 1687568, -.3,
PCLN, The Priceline Group Inc., 1813.02, -5.18,-0.28, 422569, -.2,
TSCO, Tractor Supply Company, 57.04, 0.87,1.55, 4374691, .1,
FOX, Twenty-First Century Fox Inc., 26.66, -0.32,-1.19, 2834178, -.2,
FOXA, Twenty-First Century Fox Inc., 27.15, -0.28,-1.02, 5516399, -.3,
ULTA, Ulta Beauty Inc., 232.06, 0.41,0.18, 2859957, .0,
VRSK, Verisk Analytics Inc., 81.21, -0.84,-1.02, 603061, -.1,
VRTX, Vertex Pharmaceuticals Incorporated, 153.25, -2.23,-1.43, 977352, -.5,
VIAB, Viacom Inc., 28.61, 0.15,0.53, 3646058, .1,
VOD, Vodafone Group Plc, 28.63, -0.18,-0.62, 2354782, -.1,
WBA, Walgreens Boots Alliance Inc., 81.36, 0.08,0.1, 3812327, .1,
WDC, Western Digital Corporation, 88.31, 1.66,1.92, 4743911, .4,
WYNN, Wynn Resorts Limited, 134.75, -1.4,-1.03, 1719311, -.1,
XLNX, Xilinx Inc., 64.01, 2.67,4.35, 6879893, .6,
